sno.,name,cuisine,course,diet, price 
205,Kharbyaali Masale Khara . - North  Indian Sambar Powder,North  Indian,Side Dish,Vegetarian, $15.00 
206,Sweet Corn Spring Onion Momo . - Sweet Corn Dumplings,Chinese,Appetizer,Non Vegeterian, $25.00 
207,Kothamali Aval Upma . | Dhania Poha . | Coriander Poha,Tamil Nadu,South Indian Breakfast,Vegetarian, $10.00 
208,Couscous Salad With Cucumber And Feta Cheese .,Continental,Dinner,Diabetic Friendly, $20.00 
209,Suran Kofta Curry . - Yam Kofta Curry,Indian,Main Course,No Onion No Garlic (Sattvic), $20.00 
210,Sichuan Eggplant in Spicy Chilli Garlic Sauce .,Chinese,Dinner,Vegetarian, $15.00 
211,Rajasthani Style Mutton Banjara .,Rajasthani,Dinner,Non Vegeterian, $20.00 
212,Lemon Grilled Chicken .,Continental,Lunch,Non Vegeterian, $10.00 
213,Karwar Style Surana Bhaji . - Hot and Sour Yam Dry Curry, Indian,Side Dish,Vegetarian, $10.00 
214,Mushroom Pulav .,Indian,Lunch,Vegetarian, $15.00 
215,High Protein Quinoa Beet Burger .,Continental,Dinner,High Protein Vegetarian, $20.00 
216,Cabbage Tomato Pachadi .,South Indian  .,Side Dish,Vegetarian, $5.00 
217,Beetroot and Carrot Veg balls with saut??ed leek . ,Continental,Lunch,Vegetarian, $10.00 
218,Bow Tie Pasta With Baby Spinach .,Italian,Lunch,Vegetarian, $10.00 
219,Curd Oats .,Indian,Lunch,Vegetarian, $10.00 
220,Maachli Jaisamandi . - Rajasthani Style Fish In Creamy Gravy,Rajasthani,Lunch,Non Vegeterian, $30.00 
221,Buckwheat Crepe . with Fruit Compote,Continental,World Breakfast,Gluten Free, $15.00 
222, Indian Special Huli Tovve .,Kerala  .,Lunch,Vegetarian, $10.00 
223,Bendekayi Koddel/Bolu Huli . - Mangalorean Style Bhindi Sambar .,Mangalorean,Side Dish,Vegetarian, $15.00 
224,Vegetarian Momo .-Steamed Dumplings/A Street Food from the North East India,North East India  .,Appetizer,Vegetarian, $15.00 
225,Traditional Amritsari Chole . | Punjabi Chole Masala,Punjabi,Dinner,High Protein Vegetarian, $20.00 
226,Kacche Aam Aur Lehsun Ki Dal . -Curried Lentils With Mango & Garlic,Indian,Side Dish,High Protein Vegetarian, $20.00 
227,"Watermelon, Chena, Cucumber With Soy Dressing .",Continental,Appetizer,Vegetarian, $25.00 
228,Chettinad Keerai Mandi . With Amaranth Greens,Chettinad,Side Dish,High Protein Vegetarian, $10.00 
229,Spicy Egg Biryani . Made Easy In A Pressure Cooker,Indian,Lunch,Eggetarian, $30.00 
230,"Chicken, Mushroom And Broccoli Au Gratin .",Continental,Lunch,Non Vegeterian, $15.00 
231,Achari Paneer . -Spicy Pickled Paneer Gravy,Indian,Lunch,High Protein Vegetarian, $30.00 
232,Kerala Style Taroo Root Curry . (Colacasia),Kerala  .,Lunch,Vegetarian, $15.00 
233,Matki Chi Usal . - Spicy Moth Sprouted Salad,Maharashtrian  .,Snack,Vegetarian, $10.00 
234,Sprouted Methi & Kachha Aam Salad .,Indian,Appetizer,High Protein Vegetarian, $20.00 
235,Thai Red Curry with Chicken and Brinjal .,Thai,Lunch,Non Vegeterian, $5.00 
236,Rajasthani Korma Roti .,Rajasthani,Indian Breakfast,Vegetarian, $30.00 
237,Konkani Style Vali Bendi .-Malabar Spinach Curry,Konkan,Side Dish,Vegetarian, $10.00 
238,One Pot Pressure Cooker Pav Bhaji . - Delicious Mumbai Style Street Food ,Indian,Snack,Vegetarian, $20.00 
239,Mangalorean Style Ambe Upkari . - Ripe Mango Curry,Mangalorean,Side Dish,Vegetarian, $20.00 
240,Roasted Cauliflower Salad With Quinoa & Garlic Yogurt .,Continental,Appetizer,Vegetarian, $5.00 
241,Kashmiri Style Tchat Goji . (Turnip & Dry Red Chillies),Kashmiri,Lunch,Vegetarian, $10.00 
242,Homemade Dijon Mustard Sauce .,,,, $-   
243,Pudina Tambuli ., Indian,Side Dish,Vegetarian, $10.00 
244,Achari Aloo Parwal Sabzi . (Pointed Gourd And Potato Stir Fry In Pickle Spices),Indian,Lunch,Vegetarian, $10.00 
245,Baby Potato Salad with Onion & Cheese .,Continental,Appetizer,Vegetarian, $5.00 
246,One Pot Chickpea And Brinjal Curry .,Thai,Lunch,Vegetarian, $5.00 
247,Gujarati Batata Pulao . - Sweet And Spicy Pulao With Lentils And Potatoes, Indian,Lunch,Vegetarian, $20.00 
248,Gutti Vankaya . -  Indian Style Stuffed Brinjal, Indian,Lunch,Vegetarian, $15.00 
249,Baked Potato Wedges .,Continental,Appetizer,Vegetarian, $15.00 
250,Thakkali Sadam . - Spicy Tomato Rice,South Indian  .,Lunch,Vegetarian, $10.00 
251,Thai Style Sweet And Sour Cucumber & Carrot Salad . ,Thai,Appetizer,Vegetarian, $10.00 
252, Indian Papad Curry, Indian  .,Side Dish,Vegetarian, $20.00 
253,Poosanikai Rasavangi . - Ash Gourd Curry With Dal,Tamil Nadu,Lunch,Vegetarian, $10.00 
254,Maharashtrian Chavali Chi Usal . - Black Eyed Peas Curry,Maharashtrian  .,Lunch,Vegetarian, $130.00 
255,Sweet Potato & Spinach Hash brown . ,Continental,World Breakfast,Vegetarian, $10.00 
256,Puli Koozh . - Rice Flour Porridge In Tamarind,Tamil Nadu,Lunch,Vegetarian, $5.00 
257,Goan Poee . -  Delicious Whole Wheat Buns .,Goan  .,Lunch,Vegetarian, $90.00 
258,Raw Jackfruit Burrito . ,Mexican,Lunch,Vegetarian, $20.00 
259,Sukhi Urad Dal Sabzi .,Indian,Lunch,High Protein Vegetarian, $10.00 
260,Muesli Ballyvaughan | Overnight Muesli .,European,World Breakfast,Vegetarian, $10.00 
261,Aloo Bhindi . Flavored With Mustard And Poppy Seeds, Indian  .,Lunch,Vegetarian, $20.00 
